a	$1$	$t$	$t^2$	$t^3$	$t^4$	$t^5$	$sin(t)$	$e^t$
$1$	3.60e-17	3.94e-13	1.65e-12	1.49e-02	4.15e-02	7.82e-02	1.87e-03	5.08e-03
$x+y$	1.46e-12	1.71e-12	2.44e-12	1.49e-02	4.15e-02	7.82e-02	1.87e-03	5.08e-03
$x^2+y^2$	9.45e-13	4.74e-13	7.57e-13	1.49e-02	4.15e-02	7.82e-02	1.87e-03	5.08e-03
$x^3+y^3$	1.03e-12	4.07e-13	9.69e-13	1.49e-02	4.15e-02	7.82e-02	1.87e-03	5.08e-03
$x^4+y^4$	6.81e-04	6.81e-04	6.81e-04	1.42e-02	4.08e-02	7.75e-02	2.55e-03	4.40e-03
$x^5+y^5$	1.73e-03	1.73e-03	1.73e-03	1.32e-02	3.98e-02	7.65e-02	3.58e-03	3.39e-03
$sin(x)+sin(y)$	1.34e-05	1.34e-05	1.34e-05	1.49e-02	4.15e-02	7.82e-02	1.88e-03	5.07e-03
$e^x+e^y$	4.82e-05	4.82e-05	4.82e-05	1.49e-02	4.15e-02	7.82e-02	1.91e-03	5.03e-03
